fishery_name,study_design,year,month,catch_area_code,angler_final,catch_group,is_total,harvest_est_week,harvest_est_month,harvest_cv_week,harvest_cv_month,harvest_diff,harvest_rel_diff
Cascade fall salmon 2022,Standard,2022,9,826,bank,Chinook,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2022,Standard,2022,9,826,bank,TotalSalmon,TRUE,65.142,137.273,0.1858294663058992,0.30120622120943824,-72.131,-0.5254565719405856
Cascade fall salmon 2022,Standard,2022,9,826,bank,Coho,FALSE,65.142,137.273,0.1858294663058992,0.30120622120943824,-72.131,-0.5254565719405856
Cascade fall salmon 2022,Standard,2022,10,826,bank,Chinook,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2022,Standard,2022,10,826,bank,TotalSalmon,TRUE,399.4415,403.5083333333333,0.19483551937333798,0.269652258458584,-4.066833333333307,-0.01007868486813566
Cascade fall salmon 2022,Standard,2022,10,826,bank,Coho,FALSE,399.4415,403.5083333333333,0.19483551937333798,0.269652258458584,-4.066833333333307,-0.01007868486813566
Cascade fall salmon 2022,Standard,2022,11,826,bank,Chinook,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2022,Standard,2022,11,826,bank,TotalSalmon,TRUE,345.619,413.9173,0.2488608156000508,0.28851021143404926,-68.29829999999998,-0.1650047002142698
Cascade fall salmon 2022,Standard,2022,11,826,bank,Coho,FALSE,345.619,413.9173,0.2488608156000508,0.28851021143404926,-68.29829999999998,-0.1650047002142698
Cascade fall salmon 2023,Standard,2023,9,826,bank,Chinook,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2023,Standard,2023,9,826,bank,TotalSalmon,TRUE,408.305,542.4085,0.09698602175689065,0.26638590633560066,-134.1035,-0.24723709160162496
Cascade fall salmon 2023,Standard,2023,9,826,bank,Chum,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2023,Standard,2023,9,826,bank,Coho,FALSE,404.02700000000004,535.9915,0.09801294867285414,0.27329957457750803,-131.96449999999993,-0.24620632976455772
Cascade fall salmon 2023,Standard,2023,9,826,bank,Pink,FALSE,4.278,6.417,0,0.5773502691896258,-2.1390000000000002,-0.33333333333333337
Cascade fall salmon 2023,Standard,2023,10,826,bank,Chinook,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2023,Standard,2023,10,826,bank,TotalSalmon,TRUE,1690.4225000000001,1878.1571428571428,0.2347008126715743,0.209186033345641,-187.73464285714272,-0.09995683458709517
Cascade fall salmon 2023,Standard,2023,10,826,bank,Chum,FALSE,0,0,NA,NA,0,NA
Cascade fall salmon 2023,Standard,2023,10,826,bank,Coho,FALSE,1690.4225000000001,1878.1571428571428,0.2347008126715743,0.209186033345641,-187.73464285714272,-0.09995683458709517
Cascade fall salmon 2023,Standard,2023,10,826,bank,Pink,FALSE,0,0,NA,NA,0,NA
