block,catch_area_code,year,creel_trips,creel_harvest,fisheries,crc_harvest,ratio_crc_denom,ratio_creel_denom,crc_over_creel
ColumbiaTrib,533,2023,1562.26385472027,62.6927679409378,McNary Reservoir fall salmon 2023,213,7.334572087888592,24.919363206168573,3.397521069745478
ColumbiaTrib,533,2024,2767.180410962862,135.85087958914121,McNary Reservoir fall salmon 2024,157,17.625352936069184,20.369249130603695,1.1556789361601547
ColumbiaTrib,618,2022,14130.886395399188,5116.544138095238,Drano Lake salmon and steelhead 2022,4541,3.1118446147102374,2.7618028915626174,0.8875131099114296
ColumbiaTrib,618,2023,16412.007790673746,8690.549255952381,Drano Lake salmon and steelhead 2023,7794,2.1057233500992747,1.8884891285131074,0.8968362954345709
ColumbiaTrib,618,2024,14067.492078576997,6323.848022329059,Drano Lake salmon and steelhead 2024,5874,2.3948743749705477,2.2245145722834705,0.9288648271209748
ColumbiaTrib,690,2022,7902.836007067821,2907.310291902091,Yakima fall salmon 2022,748,10.565288779502435,2.718263691729112,0.2572824793017278
PugetSound,786,2022,16879.149752359004,2435.414481818182,Nisqually salmon 2022,3815,4.424416710972216,6.930709281057454,1.5664684711704084
PugetSound,786,2023,18536.484187715403,3725.7069705128206,Nisqually salmon 2023,5136,3.6091285412218466,4.975293101261791,1.3785303140179759
PugetSound,794,2023,121.16719545197827,93.14,Nooksack fall salmon 2023,456,0.2657175338859173,1.3009147031563053,4.895855701095126
PugetSound,794,2024,772.9798397191568,335.55449999999996,Nooksack fall salmon 2024,358,2.159161563461332,2.303589550189781,1.066890773331903
PugetSound,802,2022,4095.618184725453,941.0903333333332,Puyallup_Carbon salmon 2022,261,15.692023696266103,4.35199261926197,0.27733788219409333
PugetSound,802,2023,12513.225059962133,4621.388666666667,Puyallup_Carbon salmon 2023,2469,5.068134896703983,2.707676406924614,0.5342549995434273
PugetSound,802,2024,11883.639947082502,3896.735833333333,Puyallup Carbon salmon 2024,1987,5.980694487711375,3.049639610010986,0.5099139600387761
PugetSound,804,2022,26961.384408906677,7036.4871648351655,Puyallup_Carbon salmon 2022,3705,7.277026831013948,3.8316540309554115,0.5265411437848891
PugetSound,804,2023,82766.21632659859,94986.06901082251,Puyallup_Carbon salmon 2023,56064,1.476280970437332,0.8713511064150721,0.5902339214986588
PugetSound,804,2024,31315.097499187777,10820.952666666666,Puyallup Carbon salmon 2024,6736,4.648915899523126,2.8939316586840054,0.6224960229934161
PugetSound,826,2022,1658.0873264483816,954.6986333333333,Cascade fall salmon 2022,457,3.6281998390555397,1.7367651618596798,0.4786850887220641
PugetSound,826,2023,2897.708266862889,2749.89550563722,Cascade fall salmon 2023,1544,1.8767540588490215,1.0537521374621894,0.5614758803870318
PugetSound,826,2024,2619.075307144715,1357.3284345238096,Cascade fall salmon 2024,2794,0.937392736988087,1.9295811098686393,2.058455366390535
PugetSound,830,2022,32923.77099781283,8830.644430027072,Skagit fall salmon 2022,5572,5.908788764862318,3.728354284752002,0.6309845271374965
PugetSound,830,2023,83351.25723846734,32951.44349460141,Skagit fall salmon 2023,25671,3.2469034022230274,2.5295176295424864,0.7790554002347667
PugetSound,830,2024,32420.31595919959,12918.226321645725,Skagit fall salmon 2024,8316,3.8985468926406432,2.509656910475105,0.6437416246583129
PugetSound,844,2023,3183.1856064839576,337.61583333333334,Snohomish fall salmon 2023,160,19.894910040524735,9.428425127624713,0.4739114229930962
PugetSound,844,2024,2303.07322946025,768.4405714285714,Snohomish fall salmon 2024,148,15.561305604461149,2.9970739639354487,0.19259784751455825
PugetSound,850,2022,1795.958782634866,0,Snohomish fall salmon 2022,36,49.88774396207961,NA,NA
PugetSound,850,2023,48087.491307891316,38262.78964574314,Snohomish fall salmon 2023,24936,1.928436449626697,1.2567690895805137,0.6517036585902516
PugetSound,850,2024,11637.468283686603,1743.6945349206349,Snohomish fall salmon 2024,1335,8.71720470688135,6.6740292239410435,0.765615750502288
PugetSound,852,2022,2091.7176238111356,826.8765000000001,Snohomish fall salmon 2022,95,22.018080250643532,2.529661471587517,0.11489019218710411
PugetSound,852,2024,1423.8291754353274,196.77541666666667,Snohomish fall salmon 2024,13,109.52532118733288,7.235808209961834,0.06606516311954617
PugetSound,860,2022,5716.1892026058695,2418.7564253246755,Wallace salmon and gamefish 2022-23,1186,4.819721081455202,2.3632760797063606,0.4903346147559279
PugetSound,860,2023,5649.527955348427,740.2523333333334,Wallace salmon and gamefish 2022-23|Wallace salmon and gamefish 2023-24,546,10.347120797341441,7.631894829576257,0.7375863275450668
PugetSound,860,2024,2727.6753232354604,911.9333000000001,Wallace salmon and gamefish 2024-25,621,4.392391824855814,2.9910908212645158,0.6809708560922163
PugetSound,872,2022,876.2256981470755,0,Stillaguamish salmon and gamefish 2022-23,426,2.0568678360259987,NA,NA
PugetSound,872,2023,252.3364503375305,0,Stillaguamish salmon and gamefish 2023-24,1557,0.16206579983142613,NA,NA
PugetSound,872,2024,1112.942460250824,0,Stillaguamish salmon and gamefish 2024-25,863,1.2896204637900626,NA,NA
WACoast,315,2023,1846.62445144156,526.9031666666667,Upper Chehalis salmon 2023,7739,0.23861279899748805,3.504675181824794,14.687708272772447
WACoast,315,2024,1507.8234947045628,263.2786,Chehalis salmon 2024,14309,0.10537588194175433,5.727102372561093,54.34927107634271
WACoast,329,2022,6376.507797692363,3627.2173035714286,Satsop salmon 2022,1715,3.7180803485086664,1.757961341718879,0.4728142420117421
WACoast,329,2023,11776.442332203043,3299.3089373015873,Satsop salmon 2023,4817,2.444766936309538,3.569366360045891,1.4600027131559525
WACoast,329,2024,9492.327374905171,5817.9232883310715,Satsop salmon 2024,3340,2.842014184103345,1.6315662659120655,0.5740880094962737
WACoast,348,2023,114.42208775342246,0,Hoh fall salmon 2023,222,0.5154148097001011,NA,NA
WACoast,350,2023,729.7981596096621,280.84579365079367,Hoh fall salmon 2023,1215,0.6006569214894338,2.598572512419752,4.32621754524386
WACoast,358,2022,10741.574541485992,4022.7572026132407,Humptulips salmon 2022,1844,5.825148883669193,2.6702020530864035,0.45839206969839275
WACoast,358,2023,13255.524479307154,6712.600776308055,Humptulips salmon 2023,2308,5.743294835055093,1.97472260321099,0.3438309646159838
WACoast,358,2024,13706.481434719859,5263.180535771158,Humptulips salmon 2024,1867,7.341446938789426,2.604220269771079,0.35472847403028485
WACoast,398,2022,751.8568963621216,103.72848489326766,Quillayute fall salmon 2022,209,3.5974014180005818,7.24831657510231,2.0148756652047157
WACoast,398,2023,486.93100240453714,64.11616666666667,Quillayute fall salmon 2023,196,2.4843418490027407,7.594512082046968,3.0569513149309713
WACoast,398,2024,888.4042778691356,17.3895,Quillayute fall salmon 2024,134,6.629882670665191,51.08854641416576,7.705799476695707
WACoast,400,2022,244.33943293999482,0,Quillayute fall salmon 2022,25,9.773577317599793,NA,NA
WACoast,400,2023,209.1833561424227,0,Quillayute fall salmon 2023,32,6.536979879450709,NA,NA
WACoast,402,2023,154.93362854145667,0,Quillayute fall salmon 2023,130,1.1917971426265899,NA,NA
WACoast,404,2022,1525.3535438930205,153.71722701149426,Quillayute fall salmon 2022,270,5.6494575699741505,9.923113847083396,1.7564719664101842
WACoast,404,2023,1541.8729079723328,746.23335,Quillayute fall salmon 2023,1372,1.1238140728661317,2.0662074510236415,1.8385669844426011
WACoast,404,2024,2137.9769928415058,1235.2827830985916,Quillayute fall salmon 2024,670,3.191010437076874,1.7307591606503168,0.5423859290901534
WACoast,406,2022,1048.9737734347027,1401.5799618226602,Quillayute fall salmon 2022,1715,0.6116465151222756,0.748422353349418,1.223619091821032
WACoast,406,2023,848.7794386893588,235.08605555555556,Quillayute fall salmon 2023,472,1.7982615226469467,3.610505253846395,2.007775403286125
WACoast,406,2024,2740.4198323734713,986.7221167002011,Quillayute fall salmon 2024,429,6.3879250171875785,2.777296450532589,0.43477286334136606
