fishery_name,year,location,in_batch,in_interviews,status,month,n_batch,n_int_complete,pct_diff,mean_trip_length,mean_hrs_int,ratio
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,9,4,8,-50,6.5291675,3.6933333333333334,1.7678251353790613
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,9,4,8,-50,6.5291675,3.6933333333333334,1.7678251353790613
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,10,42,42,0,4.689285,3.8639118457300277,1.213610762155996
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,10,42,42,0,4.689285,3.8639118457300277,1.213610762155996
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,11,27,27,0,4.467901851851852,3.5273809523809523,1.266634342070724
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,11,27,27,0,4.467901851851852,3.5273809523809523,1.266634342070724
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,9,4,8,-50,6.5291675,3.6933333333333334,1.7678251353790613
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,9,4,8,-50,6.5291675,3.6933333333333334,1.7678251353790613
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,10,42,42,0,4.689285,3.8639118457300277,1.213610762155996
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,10,42,42,0,4.689285,3.8639118457300277,1.213610762155996
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,11,27,27,0,4.467901851851852,3.5273809523809523,1.266634342070724
Cascade fall salmon 2022,2022,bank,TRUE,TRUE,both,11,27,27,0,4.467901851851852,3.5273809523809523,1.266634342070724
Cascade fall salmon 2023,2023,bank,TRUE,TRUE,both,9,18,19,-5.2631578947368425,5.853703888888889,4.516269841269842,1.2961368772515596
Cascade fall salmon 2023,2023,bank,TRUE,TRUE,both,9,18,19,-5.2631578947368425,5.853703888888889,4.516269841269842,1.2961368772515596
Cascade fall salmon 2023,2023,bank,TRUE,TRUE,both,10,43,46,-6.521739130434782,4.680232093023256,3.8234177215189873,1.2240964586950414
